Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635778800000,61471.70000000,61539.93000000,61415.53000000,61461.48000000,0.79897900,1635779699999,49124.13877213,72,0.44427200,27313.07752546,0
1635779700000,61478.85000000,61590.16000000,61427.37000000,61456.43000000,1.84699400,1635780599999,113627.76645856,84,0.98303200,60468.04336458,0
1635780600000,61490.87000000,61572.64000000,61468.46000000,61468.60000000,1.15964700,1635781499999,71365.45935097,66,0.71329400,43901.82419004,0
1635781500000,61469.76000000,61577.51000000,61418.78000000,61559.93000000,2.14822000,1635782399999,132152.57975157,77,1.40669100,86542.52097035,0
1635782400000,61544.89000000,61548.06000000,61371.52000000,61401.62000000,3.09313600,1635783299999,190106.73851590,85,2.64605500,162629.25975879,0
1635783300000,61437.70000000,61500.00000000,61299.63000000,61323.34000000,0.43105500,1635784199999,26476.59436754,59,0.28728100,17649.24857151,0
1635784200000,61310.76000000,61352.22000000,61047.74000000,61124.24000000,4.92798400,1635785099999,301580.06567634,262,1.49687100,91576.04714190,0
1635785100000,61120.63000000,61161.93000000,61038.96000000,61038.96000000,1.48819000,1635785999999,90912.81063148,121,0.83784200,51182.28247897,0
1635786000000,61035.46000000,61093.61000000,60730.57000000,60772.45000000,3.34489600,1635786899999,203579.77096727,422,1.27943600,77844.10558333,0
1635786900000,60763.08000000,61016.87000000,60745.99000000,60829.74000000,1.46588400,1635787799999,89285.52813188,89,0.79526200,48437.34603231,0
1635787800000,60815.41000000,60916.28000000,60805.28000000,60816.84000000,0.88794000,1635788699999,54063.47827167,30,0.35617900,21691.38382323,0
1635788700000,60792.28000000,60920.62000000,60726.56000000,60761.40000000,1.68860400,1635789599999,102665.43328663,83,1.03217200,62778.69691141,0
1635789600000,60749.99000000,60815.01000000,60533.53000000,60792.23000000,3.24190400,1635790499999,196693.75253984,272,1.66855600,101300.47402813,0
1635790500000,60775.48000000,60775.48000000,60543.56000000,60607.53000000,1.71865100,1635791399999,104212.14194746,90,0.42836400,25970.66206271,0
1635791400000,60607.52000000,60775.34000000,60511.89000000,60775.34000000,1.26242800,1635792299999,76507.84253005,94,0.72908200,44184.94116309,0
